OBJECTID,ID,ADDRESS,TERMINAL_NUMBER,LATITUDE,LONGITUDE,INSTALLED,LOCKED,INSTALL_DATE,REMOVAL_DATE,TEMPORARY_INSTALL,NUMBER_OF_BIKES,NUMBER_OF_EMPTY_DOCKS,X,Y,SE_ANNO_CAD_DATA,OWNER
292431283,86,18th & L St NW,31224,38.903741,-77.042452,YES,NO,,,NO,1,18,396317.74270625,137321.43879233,,DC
292431284,87,C & O Canal & Wisconsin Ave NW,31225,38.90375,-77.06269,YES,NO,,,NO,13,9,394562.31341761,137323.44877775,,DC
292431285,88,Maine Ave & 7th St SW,31609,38.878694,-77.023054,YES,NO,,,NO,14,4,397999.60967342,134540.4217425,,DC
292431286,89,D St & Maryland Ave NE,31612,38.894758,-76.997114,YES,NO,,,NO,13,10,400250.36118988,136323.40169319,,DC
292431287,90,34th St & Wisconsin Ave NW,31226,38.916442,-77.0682,YES,NO,,,NO,4,6,394085.43254774,138732.70732736,,DC
292431288,91,13th St & New York Ave NW,31227,38.900283,-77.029822,YES,NO,,,NO,3,20,397413.13477499,136937.13928906,,DC
292431289,92,8th & H St NW,31228,38.8997,-77.023086,YES,NO,,,NO,21,12,397997.42273853,136872.25229554,,DC
292431290,93,10th & Monroe St NE,31504,38.932514,-76.992889,YES,NO,,,NO,9,6,400616.55446976,140514.65083001,,DC
292431291,94,Eckington Pl & Q St NE,31505,38.910972,-77.00495,YES,NO,,,NO,7,16,399570.68391328,138123.29427771,,DC
292431292,95,6th & H St NE,31615,38.899972,-76.998347,YES,NO,,,NO,16,5,400143.38766466,136902.19455674,,DC
292431293,96,3rd & H St NE,31616,38.900412,-77.001949,YES,NO,,,NO,13,5,399830.93718412,136951.03859198,,DC
292431294,97,Bladensburg Rd & Benning Rd NE,31617,38.900413,-76.982872,YES,NO,,,NO,3,12,401485.74030431,136951.28717624,,DC
292431295,98,4th & East Capitol St NE,31618,38.889955,-77.000349,YES,NO,,,NO,5,4,399969.72212823,135790.22701798,,DC
292431296,99,Lincoln Park / 13th & East Capitol St NE,31619,38.890461,-76.988355,YES,NO,,,NO,7,17,401010.26737857,135846.46135466,,DC
292431297,100,Branch & Pennsylvania Ave SE,31701,38.8692,-76.9599,YES,NO,,,NO,7,4,403479.93073282,133487.02816607,,DC
292431298,101,13th & D St NE,31622,38.894832,-76.987633,YES,NO,,,NO,20,11,401072.83909032,136331.6849909,,DC
292431299,102,New Hampshire Ave & T St NW,31229,38.91554,-77.03818,YES,NO,,,NO,9,12,396688.84082399,138631.06089313,,DC
292431300,103,Metro Center / 12th & G St NW,31230,38.898364,-77.027869,YES,NO,,,NO,11,28,397582.47982913,136724.06141167,,DC
292431301,104,14th & D St NW / Ronald Reagan Building,31231,38.894514,-77.031617,YES,NO,,,NO,10,15,397257.20836553,136296.78677707,,DC
292431302,105,7th & F St NW / National Portrait Gallery,31232,38.89702,-77.02299,YES,NO,,,NO,14,13,398005.67526186,136574.74880791,,DC
292431303,106,17th & K St NW / Farragut Square,31233,38.902061,-77.038322,YES,NO,,,NO,4,31,396675.89775652,137134.78675859,,DC
292431304,107,20th & O St NW / Dupont South,31234,38.908905,-77.04478,YES,NO,,,NO,14,5,396116.0947985,137894.78124868,,DC
292431305,108,4th & D St NW / Judiciary Square,31621,38.895344,-77.016106,YES,NO,,,NO,4,11,398602.81213383,136388.57162835,,DC
292431306,109,19th St & Constitution Ave NW,31235,38.8923,-77.0436,YES,NO,,,NO,27,7,396217.55940232,136051.44360649,,DC
292431307,110,37th & O St NW / Georgetown University,31236,38.90774,-77.071652,YES,NO,,,NO,15,7,393785.30362802,137766.94307056,,DC
292431308,111,11th & H St NE,31614,38.899983,-76.991383,YES,NO,,,NO,13,5,400747.47205932,136903.4496248,,DC
292431309,112,25th St & Pennsylvania Ave NW,31237,38.903827,-77.053485,YES,NO,,,NO,6,9,395360.75356309,137331.48834951,,DC
292431310,113,Columbus Circle / Union Station,31623,38.89696,-77.00493,YES,NO,,,NO,15,38,399572.33452251,136567.84875416,,DC
292431311,114,North Capitol St & F St NW,31624,38.897446,-77.009888,YES,NO,,,NO,10,12,399142.24595819,136621.83352922,,DC
292431312,115,11th & M St NW,31266,38.905607,-77.027137,YES,NO,,,NO,9,8,397646.21680293,137528.07359221,,DC
292431313,116,36th & Calvert St NW / Glover Park,31304,38.922581,-77.070334,YES,NO,,,NO,8,7,393900.88891277,139414.32818096,,DC
292431314,117,14th & G St NW,31238,38.898409,-77.032278,YES,NO,,,NO,18,5,397200.01914538,136729.18276662,,DC
292431315,118,Potomac Ave & 35th St S,31052,38.844015,-77.050537,YES,NO,,,NO,20,3,395612.7850665,130691.76225178,,
292431316,124,Ohio Dr & West Basin Dr SW / MLK & FDR Memorials,31240,38.88412,-77.04657,YES,NO,,,NO,19,11,395959.43911633,135143.52730167,,DC
292431317,125,11th & F St NW,31262,38.897857,-77.026975,YES,NO,,,NO,5,10,397660.01398863,136667.7570737,,DC
292431318,126,23rd & E St NW,31260,38.896104,-77.049882,YES,NO,,,NO,6,13,395672.80643508,136473.99663923,,DC
292431319,127,Lynn St & 19th St North,31014,38.897315,-77.070993,YES,NO,,,NO,10,21,393841.56164086,136609.63967085,,
292431320,128,Rosslyn Metro / Wilson Blvd & Ft Myer Dr,31015,38.8946,-77.072305,YES,NO,,,NO,10,8,393727.51072873,136308.34254655,,
292431321,129,Clarendon Blvd & Pierce St,31016,38.893438,-77.076389,YES,NO,,,NO,3,12,393373.11414719,136179.63995377,,
292431322,130,Wilson Blvd & N Uhle St,31017,38.891696,-77.0846,YES,NO,,,NO,7,8,392660.61582418,135986.8924231,,
292431323,131,Rhodes St & 16th St N,31018,38.892164,-77.079375,YES,NO,,,NO,9,2,393113.95026708,136038.43697471,,
292431324,132,Fairfax Village,31706,38.86559,-76.952103,YES,NO,,,NO,4,9,404156.7748465,133086.6176774,,DC
292431325,133,21st St & Constitution Ave NW,31261,38.892459,-77.046567,YES,NO,,,NO,3,12,395960.17160973,136069.22097211,,DC
292431326,134,Wilson Blvd & N Edgewood St,31019,38.889,-77.0925,YES,NO,,,NO,11,4,391974.9565944,135688.28027547,,
292431327,135,Columbia Rd & Belmont St NW,31113,38.920669,-77.04368,YES,NO,,,NO,9,10,396212.12597888,139200.636678,,DC
292431328,136,Rhode Island & Connecticut Ave NW,31239,38.905996,-77.039802,YES,NO,,,NO,4,19,396547.71101083,137571.65850828,,DC
292431329,137,Thomas Circle,31241,38.9059,-77.0325,YES,NO,,,NO,10,23,397181.05762675,137560.75091601,,DC
292431330,138,Wilson Blvd & N Franklin Rd,31020,38.8904,-77.0889,YES,NO,,,NO,0,11,392287.43385198,135843.38082737,,
292431331,139,Clarendon Blvd & N Fillmore St,31021,38.8881,-77.09308,YES,NO,,,NO,13,2,391924.53555307,135588.42446277,,
292431332,140,Clarendon Metro / Wilson Blvd & N Highland St,31022,38.88786,-77.094875,YES,NO,,,NO,13,4,391768.77673525,135561.94292851,,
292431333,141,18th St & Pennsylvania Ave NW,31242,38.89968,-77.041539,YES,NO,,,NO,11,16,396396.73056387,136870.59871663,,DC
292431334,142,4th & C St SW,31243,38.886372,-77.017701,YES,NO,,,NO,12,26,398464.25352264,135392.63496554,,DC
292431335,143,4th & E St SW,31244,38.88412,-77.017445,YES,NO,,,NO,10,9,398486.41642165,135142.64129491,,DC
292431336,144,3rd & G St SE,31625,38.881185,-77.001828,YES,NO,,,NO,12,7,399841.39039203,134816.69073244,,DC
292431337,145,7th & R St NW / Shaw Library,31245,38.912719,-77.022155,YES,NO,,,NO,8,7,398078.53235602,138317.44722014,,DC
292431338,146,9th & Upshur St NW,31404,38.9418,-77.0251,YES,NO,,,NO,7,8,397824.00484445,141545.75347825,,DC
292431339,147,1st & Rhode Island Ave NW,31506,38.915417,-77.012289,YES,NO,,,NO,3,11,398934.23503524,138616.78618346,,DC
292431340,148,Columbia Rd & Georgia Ave NW,31115,38.928121,-77.023795,YES,NO,,,NO,15,4,397936.74344645,140027.23478731,,DC
292431341,149,California St & Florida Ave NW,31116,38.917761,-77.04062,YES,NO,,,NO,7,5,396477.34162756,138877.70174796,,DC
292431342,150,Benning Rd & East Capitol St NE / Benning Rd Metro,31707,38.889935,-76.93723,YES,NO,,,NO,9,9,405445.68021157,135789.87902946,,DC
292431343,151,3000 Connecticut Ave NW / National Zoo,31307,38.930282,-77.055599,YES,NO,,,NO,6,9,395179.17550824,140268.32354902,,DC
292431344,152,Anacostia Ave & Benning Rd NE / River Terrace,31708,38.896544,-76.96012,YES,NO,,,NO,3,12,403459.51281234,136522.41355417,,DC
292431345,153,M St & Pennsylvania Ave NW,31246,38.905126,-77.056887,YES,NO,,,NO,4,14,395065.75667991,137475.86623703,,DC
292431346,154,15th St & Massachusetts Ave SE,31626,38.88732,-76.983569,YES,NO,,,NO,7,8,401425.5417836,135497.84971905,,DC
292431347,155,Congress Heights Metro,31806,38.844711,-76.987823,YES,NO,,,NO,0,14,401057.09871953,130767.87922723,,DC
292431348,156,N Quincy St & Glebe Rd,31035,38.876393,-77.107735,YES,NO,,,NO,5,6,390651.55922442,134290.2570428,,
292431349,157,Barcroft Community Center,31033,38.850337,-77.100989,YES,NO,,,NO,5,6,391233.72684756,131397.18311219,,
292431350,158,N Veitch St & 20th St N,31029,38.896923,-77.086502,YES,NO,,,NO,7,8,392496.15967477,136567.28510903,,
292431351,159,10th & K St NW,31263,38.9024,-77.02622,YES,NO,,,NO,9,13,397725.65241957,137172.04739912,,DC
292431352,160,Fairfax Dr & Wilson Blvd,31023,38.885801,-77.097745,YES,NO,,,NO,4,7,391519.53488356,135333.64078152,,
292431353,161,Key Blvd & N Quinn St,31027,38.896355,-77.078408,YES,NO,,,NO,5,6,393198.24035826,136503.59842391,,
292431354,162,1st & K St SE,31628,38.878854,-77.005727,YES,NO,,,NO,8,7,399503.07062433,134557.94595692,,DC
292431355,163,39th & Calvert St NW / Stoddert,31306,38.922649,-77.077271,YES,NO,,,NO,13,6,393299.34379144,139422.36308098,,DC
292431356,164,1st & Washington Hospital Center NW,31507,38.928743,-77.012457,YES,NO,,,NO,6,9,398919.86707704,140096.08692818,,DC
292431357,165,Virginia Square Metro / Monroe St & 9th St N,31024,38.882788,-77.103148,YES,NO,,,NO,2,17,391050.38685989,134999.69056817,,
292431358,166,Central Library / Quincy St & 10th St N,31025,38.88397,-77.10783,YES,NO,,,NO,5,6,390644.30934888,135131.37099114,,
292431359,167,Washington Blvd & 10th St N,31026,38.884734,-77.093485,YES,NO,,,NO,7,8,391889.01580315,135214.80848005,,
292431360,168,Jefferson Dr & 14th St SW,31247,38.888553,-77.032429,YES,NO,,,NO,20,0,397186.53186857,135635.0937417,,DC
292431361,169,Smithsonian-National Mall / Jefferson Dr & 12th St SW,31248,38.888767,-77.02858,YES,NO,,,NO,28,7,397520.46999936,135658.73782359,,DC
292431362,170,George Mason Dr & Wilson Blvd,31036,38.87887,-77.1207,YES,NO,,,NO,11,4,389526.91727648,134566.63015205,,
292431363,171,6th St & Indiana Ave NW,31264,38.894573,-77.01994,YES,NO,,,NO,13,5,398270.19576117,136303.05019148,,DC
292431364,172,N Veitch St & Key Blvd,31028,38.893237,-77.086063,YES,NO,,,NO,3,8,392533.85610369,136158.07410917,,
292431365,173,Lee Hwy & N Adams St,31030,38.89593,-77.089006,YES,NO,,,NO,10,9,392278.83629398,136457.26307774,,
292431366,174,15th St & N Scott St,31031,38.89054,-77.08095,YES,NO,,,NO,8,3,392977.15386494,135858.28028852,,
292431367,175,Washington Blvd & 7th St N,31032,38.88081,-77.090792,YES,NO,,,NO,3,8,392122.23367875,134778.97873842,,
292431368,176,Ballston Metro / Stuart St & 9th St N,31037,38.881044,-77.111768,YES,NO,,,NO,17,6,390302.23781937,134806.97373735,,
292431369,177,Fairfax Dr & N Randolph St,31034,38.882629,-77.109366,YES,NO,,,NO,2,9,390510.86258655,134982.66832544,,
292431370,178,Jefferson Memorial,31249,38.879819,-77.037413,YES,NO,,,NO,3,20,396753.73375318,134665.71792817,,DC
292431371,179,Good Hope Rd & 14th St SE,31803,38.866611,-76.985238,YES,NO,,,NO,9,6,401281.11228246,133198.96929326,,DC
292431372,180,Glebe Rd & 11th St N,31038,38.883921,-77.116817,YES,NO,,,NO,4,7,389864.56068615,135126.89103108,,
292431373,181,Wilson Blvd & N Quincy St,31039,38.880012,-77.107854,YES,NO,,,NO,3,12,390641.70793238,134692.00542591,,
292431389,198,24th & N St NW,31255,38.9066,-77.05152,YES,NO,,,NO,7,8,395531.3698104,137639.21579131,,DC
292431390,199,10th & E St NW,31256,38.895914,-77.026064,YES,NO,,,NO,6,9,397738.97843831,136452.04567026,,DC
292431391,200,22nd & I St NW / Foggy Bottom,31257,38.90088,-77.048911,YES,NO,,,NO,5,9,395757.32337487,137004.12512577,,DC
292431392,201,Utah St & 11th St N,31049,38.883669,-77.113905,YES,NO,,,NO,1,10,390117.18065021,135098.59783356,,
292431393,202,Barton St & 10th St N,31050,38.884961,-77.08777,YES,NO,,,NO,2,8,392384.88706428,135239.51496366,,
292431394,203,Arlington Blvd & N Queen St,31051,38.889365,-77.077294,YES,NO,,,NO,1,10,393294.22093326,135727.57124359,,
292431395,204,Lincoln Memorial,31258,38.888251,-77.049426,YES,NO,,,NO,8,17,395711.89180633,135602.23051407,,DC
292431396,206,20th St & Virginia Ave NW,31259,38.894722,-77.045128,YES,NO,,,NO,9,5,396085.13339566,136320.36909798,,DC
292431397,207,5th St & Massachusetts Ave NW,31265,38.90093,-77.018677,YES,NO,,,NO,5,14,398379.90597158,137008.70467648,,DC
